Value	Group	Attribute
24	PAS1	Category
30	PAS1	Category
28	PAS1	Category
26	PAS1	Category
27	PAS2	Category
24	PAS2	Category
21	PAS2	Category
26	PAS2	Category
31	NaHCO	Category
28	NaHCO	Category
25	NaHCO	Category
30	NaHCO	Category
32	BUN	Category
33	BUN	Category
33	BUN	Category
28	BUN	Category
21	PAS1	contrast
22	PAS1	contrast
16	PAS1	contrast
21	PAS1	contrast
21	PAS2	contrast
22	PAS2	contrast
16	PAS2	contrast
21	PAS2	contrast
21	NaHCO	contrast
22	NaHCO	contrast
16	NaHCO	contrast
21	NaHCO	contrast
21	BUN	contrast
22	BUN	contrast
16	BUN	contrast
21	BUN	contrast
